label,pmid,sentence,rel_loc
0,21120611,This study was designed to evaluate the value of contrast-enhanced whole-heart coronary MRA (CMRA) at 3.0T in depicting the cardiac venous anatomy. ,0.00
0,21120611,"In cardiac resynchronization therapy (CRT), left ventricular (LV) pacing is achieved by positioning the LV lead in one of the tributaries of the coronary sinus (CS). ",0.08
0,21120611,Pre-implantation knowledge of the venous anatomy may help determine whether transvenous LV lead placement for CRT is feasible. ,0.17
0,21120611,Images of 51 subjects undergoing contrast-enhanced whole-heart CMRA at 3.0T were retrospectively analyzed. ,0.25
0,21120611,"Data acquisition was performed using electrocardiography-triggered, navigator-gated, inversion-recovery prepared, segmented gradient-echo sequence. ",0.33
0,21120611,A 32-element cardiac coil was used for data acquisition. ,0.42
0,21120611,The visibility of the cardiac veins was graded visually using a 4-point scale (1: poor-4: excellent). ,0.50
0,21120611,The paired Student t test was used to evaluate differences in diameters of the ostium of the CS in anteroposterior and superoinferior direction. ,0.58
0,21120611,The cardiac veins were finally evaluated in 48 subjects with three anatomic variations. ,0.67
0,21120611,The diameter of the CS ostium in the superoinferior direction (1.13\xa0±\xa00.26\xa0cm) was larger than in the anteroposterior direction (0.82\xa0±\xa00.19\xa0cm) (P\xa0<\xa00.05). ,0.75
0,21120611,"The mean visibility score of CS, posterior interventricular vein, posterior vein of the left ventricle, left marginal vein, and anterior interventricular vein was 4.0\xa0±\xa00.0, 3.4\xa0±\xa00.5, 3.4\xa0±\xa00.5, 3.0\xa0±\xa00.8, and 3.3\xa0±\xa00.5, respectively. ",0.83
1,21120611,"In conclusion, contrast-enhanced whole-heart CMRA at 3.0T can depict the normal and variant cardiac venous anatomy.",0.92
0,21786334,"Correlation of serologic titers for Chlamydia trachomatis with other tests has been based on direct fluorescence antibody (DFA) testing and culture, but not on nucleic acid-based tests that are used for screening. ",0.00
0,21786334,"We retrospectively reviewed the specificity of antibodies against C. trachomatis, Chlamydia psittaci, and Chlamydophila pneumoniae by microimmunofluorescence (MIF) when compared with DFA, culture, nucleic acid probe, and transcription-mediated amplification. ",0.12
0,21786334,"Over a 6-year period, 226 cases had both MIF and one of these other methods performed for comparison. ",0.25
0,21786334,Agreement between C. trachomatis antigen or nucleic acid detection and MIF results was 87% (197/226). ,0.38
0,21786334,"C. trachomatis serology had a negative predictive value of 98%, and 10.6% of cases were positive by serology and negative by antigen testing. ",0.50
0,21786334,"Of the 13 patients who had a positive C. trachomatis antigen or nucleic acid test result, 9 had IgG and/or IgM titers highest against C. trachomatis, 3 had IgG titers highest against C. pneumoniae, and 1 had undetectable titers for the three chlamydial species. ",0.62
0,21786334,Twenty-five patients had positive IgG and/or IgM titers to C. trachomatis but negative antigen test results. ,0.75
0,21786334,Serologic testing can increase the sensitivity of detecting C. trachomatis infections.,0.88
0,18583873,"Although the treatment of pulmonary diseases due to nontuberculous mycobacteria (NTM) requires the long-term use of antibiotics in combination, the treatment success rates are unsatisfactory. ",0.00
0,18583873,We evaluated the clinical characteristics and surgical outcomes of 23 patients with NTM lung diseases who had underwent pulmonary resection. ,0.11
0,18583873,The median age of the patients was 45 yr. ,0.22
0,18583873,"Of the 23 patients, 10 had Mycobacterium avium-intracellulare complex infection, 12 had M. abscessus infection, and one had M. xenopi infection. ",0.33
0,18583873,"The indications for surgery were antibiotic therapy failure (n=11), remnant cavitary lesion with high probability of relapse (n=8), and massive hemoptysis (n=4). ",0.44
0,18583873,The most common procedure was lobectomy (48%). ,0.56
0,18583873,"Postoperative complications occurred in eight patients (35%), including postoperative pneumonia (n=3) and late bronchopleural fistula (n=2). ",0.67
0,18583873,Negative sputum culture conversion was achieved and maintained in all except two mortalities. ,0.78
1,18583873,"Although it is associated with a relatively high complication rate, patients with NTM lung disease whose disease is localized to one lung and who can tolerate resectional surgery might be considered for surgery, if there has been poor response to drug therapy or if the patients develop significant disease-related complications such as hemoptysis.",0.89
0,26235506,Elevation in liver transaminases is common in patients treated with the marine antitumor agent trabectedin. ,0.00
0,26235506,"However, the impact of trabectedin-related transaminase elevations on treatment outcomes is unclear. ",0.14
0,26235506,This retrospective study investigated the correlation between liver tests abnormalities and treatment outcomes in patients with unresectable advanced or metastatic soft tissue sarcomas (STS) treated with trabectedin 1.5 mg/m(2) once every 3 weeks at three reference centers in Italy. ,0.29
0,26235506,The effect of grade 3/4 elevations in alanine aminotransferase (ALT) or aspartate aminotransferase (AST) during the first two cycles and at any time during trabectedin treatment on progression-free survival (PFS) and overall survival (OS) were analyzed. ,0.43
0,26235506,Liver tests abnormalities during the first two cycles of chemotherapy or at any time during trabectedin treatment did not significantly affect PFS or OS. ,0.57
0,26235506,Nor were survival outcomes significantly different in the subgroups of patients with or without ALT/AST increases or with ALT/AST elevations ≥ 15 × the upper limit of normal (ULN) versus those with ALT/AST elevation < 15\u2009×\u2009ULN. ,0.71
0,26235506,"Although liver tests abnormalities are common in patients treated with trabectedin, elevations in ALT and AST are usually transient, occur during the first two cycles of treatment, and do not appear to affect survival.",0.86
0,25439394,The duration of untreated psychosis (DUP) is a key determinant in the severity of symptoms in patients with schizophrenia. ,0.00
0,25439394,DUP is a modifiable factor that if reduced can improve patient outcome and treatment response. ,0.17
0,25439394,We sought to decrease DUP in rural Argentina by instituting annual training of local health agents to better identify signs of mental illness and offer earlier intervention. ,0.33
0,25439394,DUP was estimated using Schedules of Clinical Assessment in Neuropsychiatry (SCAN). ,0.50
0,25439394,Ongoing training was correlated with a reduction in DUP. ,0.67
0,25439394,Reducing DUP through better screening can decrease the psychosocial burden of disease and improve the trajectory of psychosis.,0.83
0,27725639,The oligometastatic state has been proposed as an intermediate stage of cancer spread between localized disease and widespread metastases. ,0.00
0,27725639,"With improvements in diagnostic modalities such as functional imaging, oligometastatic prostate cancer is being diagnosed with greater frequency than ever before. ",0.12
0,27725639,"Furthermore, the paradigm for treatment of advanced prostate cancers is shifting toward a more aggressive approach. ",0.25
0,27725639,"Many questions surround the understanding of the process and consequences of oligometastasis, meaning that the contemporary literature offers a wide variety of definitions of oligometastatic prostate cancer. ",0.38
1,27725639,"Until genomic data exist to provide a biological component to the definition of oligometastatic disease, a clinical diagnosis made on the basis of up to five extrapelvic lesions is reasonable for use. ",0.50
0,27725639,Retrospective studies suggest that interventions such as radical prostatectomy and local or metastasis-directed radiotherapy can be performed in the metastatic setting with minimal risk of toxic effects. ,0.62
0,27725639,"These therapies seem to decrease the need for subsequent palliative interventions, but insufficient data are available to draw reliable conclusions regarding their effect on survival. ",0.75
1,27725639,"Thus, a protocol for clinicians to manage the patient presenting with oligometastatic prostate cancer would be a useful clinical tool.",0.88
0,21620310,A significant proportion of patients report long-term pain that is >=5 on a 0-10 intensity scale after limb-sparing surgery for malignancies of the long bones. ,0.00
0,21620310,Patients experience several distinct types of pain after limb-sparing surgery which constitute a complex clinical entity. ,0.12
0,21620310,This retrospective study examined 26 years of experience in a pediatric institution (1981-2007) in pain management as long as 6 months after limb-sparing surgery and reviewed the historical evolution of pain interventions. ,0.25
0,21620310,One hundred fifty patients underwent 151 limb-salvage surgeries for bone cancer of the extremities in this series. ,0.38
0,21620310,Pain treatment increased progressively in complexity. ,0.50
0,21620310,"Therapies included opioids, nonsteroidal antiinflammatory drugs, acetaminophen-opioid combinations, postoperative continuous epidural infusion, anticonvulsants and tricyclic antidepressants for neuropathic pain, local anesthetic wound catheters, and continuous peripheral nerve block catheters. ",0.62
0,21620310,Management of pain after limb-sparing surgery has evolved over the 26 years of this review. ,0.75
0,21620310,"It currently relies on multiple ""layers"" of pharmacologic and nonpharmacologic strategies to address the complex mixed nociceptive and neuropathic mechanisms of pain in this patient population.",0.88
0,15224168,The purpose of this retrospective study was to investigate the incidence of bone metastases as the first sign of metastatic spread in patients with primary solid malignant tumours. ,0.00
0,15224168,"Between January 1987 and December 1998, we treated 867 patients suffering from primary solid malignant tumours. ",0.20
0,15224168,Their average age was 67 (range: 30-96) years and all were thoroughly investigated with a complete physical examination and laboratory tests as well as imaging studies and bone scans. ,0.40
0,15224168,"No bone metastases were found at the time of the initial diagnosis, and the patients were then re-assessed every 6 months for the first 5 years and then once a year. ",0.60
0,15224168,"We found that, regardless of treatment, bone metastases appeared in a certain number of patients and that after excluding patients with prostate cancer a bone metastasis was the first sign of ""recurrence"" in 1.3% of the patients with a known primary solid malignant tumour.",0.80
0,26886620,"Although remifentanil is used widely by many clinicians during general anesthesia, there are recent evidences of opioid-induced hyperalgesia as an adverse effect. ",0.00
0,26886620,This study aimed to determine if intraoperative remifentanil infusion caused increased pain during the postoperative period in patients who underwent a thyroidectomy. ,0.08
0,26886620,"A total of 7511 patients aged ≥ 20 years, who underwent thyroidectomy between January 2009 and December 2013 at the Asan Medical Center were retrospectively analyzed. ",0.15
0,26886620,Enrolled patients were divided into 2 groups: group N (no intraoperative remifentanil and only volatile maintenance anesthesia) and group R (intraoperative remifentanil infusion including total intravenous anesthesia and balanced anesthesia). ,0.23
0,26886620,"Following propensity score matching analysis, 2582 patients were included in each group. ",0.31
0,26886620,Pain scores based on numeric rating scales (NRS) were compared between the 2 groups at the postoperative anesthetic care unit and at the ward until 3 days postoperation. ,0.38
0,26886620,"Incidences of postoperative complications, such as nausea, itching, and shivering were also compared. ",0.46
0,26886620,The estimated NRS pain score on the day of surgery was 5.08 (95% confidence interval [CI] 4.97-5.19) in group N patients and 6.73 (95% CI 6.65-6.80) in group R patients (P\u200a<\u200a0.001). ,0.54
0,26886620,"There were no statistically significant differences in NRS scores on postoperative days 1, 2, and 3 between the 2 groups. ",0.62
0,26886620,Postoperative nausea was less frequent in group R (31.4%) than in group N (53.5%) (P\u200a<\u200a0.001). ,0.69
0,26886620,"However, the incidence of itching was higher in group R (4.3%) than in group N (0.7%) (P\u200a<\u200a0.001). ",0.77
0,26886620,Continuous infusion of remifentanil during general anesthesia can cause higher intensity of postoperative pain and more frequent itching than general anesthesia without remifentanil infusion immediately after thyroidectomy. ,0.85
1,26886620,"Considering the advantages and disadvantages of continuous remifentanil infusion, volatile anesthesia without opioid may be a good choice for minor surgeries, such as thyroidectomy.",0.92
0,22734892,Autologous stem cell transplantation (ASCT) is the gold standard therapy for suitable multiple myeloma (MM) patients after induction with high dose therapy. ,0.00
0,22734892,"To date, the evidence of a reliable marker of prognosis in these cases remains scarce. ",0.17
0,22734892,Our aim was to evaluate appearance of unrelated atypical serum immunofixation patterns (ASIPs) as a marker of prognosis in MM patients submitted to ASCT. ,0.33
0,22734892,We retrospectively analysed data from 65 patients. ,0.50
0,22734892,"Interestingly, we observed that presence of ASIPs was associated with longer progression-free survival and longer overall survival. ",0.67
1,22734892,Our results suggested that presence of ASIPs could be a novel marker of good prognosis in MM patients submitted to ASCT.,0.83
0,12091510,"The number of artificial cardiac pacemakers is increasing, as is the number of bodies being cremated. ",0.00
0,12091510,"Because of the explosive potential of pacemakers when heated, a statutory question on the cremation form asks whether the deceased has a pacemaker and if so whether it has been removed. ",0.20
0,12091510,"We sent a questionnaire to all the crematoria in the UK enquiring about the frequency, consequences and prevention of pacemaker explosions. ",0.40
0,12091510,"We found that about half of all crematoria in the UK experience pacemaker explosions, that pacemaker explosions may cause structural damage and injury and that most crematoria staff are unaware of the explosive potential of implantable cardiac defibrillators. ",0.60
0,12091510,"Crematoria staff rely on the accurate completion of cremation forms, and doctors who sign cremation forms have a legal obligation to provide such information.",0.80
0,29632017,A consistent approach to the dosing of aminoglycosides across the modern body size distribution has been elusive. ,0.00
0,29632017,We evaluated whether radiologically derived measures of body composition could explain more of the interpatient variability in aminoglycoside pharmacokinetics (PK) than standard body size metrics. ,0.08
0,29632017,This retrospective study included adult patients treated with gentamicin or tobramycin with at least three drug concentrations and computed tomography (CT) imaging available. ,0.17
0,29632017,Aminoglycoside volume and clearance (CL) estimates were computed using a two-compartment model by Bayesian analysis. ,0.25
0,29632017,Morphomic data were extracted from CT images using a custom algorithm. ,0.33
0,29632017,Bivariable and multivariable linear regression were used to assess relationships between PK parameters and covariates. ,0.42
0,29632017,"A total of 335 patients were included with a median (minimum, maximum) of 4 (3, 16) aminoglycoside concentrations per patient. ",0.50
0,29632017,"The median (minimum, maximum) age, height, and weight of included patients were 57 (21, 93) years, 170 (145, 203) centimeters, and 81 (42, 187) kilograms. ",0.58
0,29632017,Both standard and morphomic measures poorly explained variability in volume (R2 < 0.06). ,0.67
0,29632017,Skeletal muscle area and volume explained more of the interpatient variability in CL than weight or sex. ,0.75
0,29632017,"Higher precision was observed using a modified Cockcroft-Gault equation with skeletal muscle area at L3 (R2= 0.38) or L4 (R2= 0.37) than the standard Cockcroft-Gault equation using lean (R2= 0.23), adjusted (R2= 0.23), or total (R2= 0.22) body weights. ",0.83
0,29632017,These results highlight that skeletal muscle measurements from CT images obtained in the course of care can improve the precision of aminoglycoside CL estimation over current body size scalars.,0.92
0,25775533,Most patients suffering from cancer die of metastatic disease. ,0.00
0,25775533,"Surgical removal of solid tumors is performed as an initial attempt to cure patients; however, surgery is often accompanied with trauma, which can promote early recurrence by provoking detachment of tumor cells into the blood stream or inducing systemic inflammation or both. ",0.11
0,25775533,We have previously reported that administration of atrial natriuretic peptide (ANP) during the perioperative period reduces inflammatory response and has a prophylactic effect on postoperative cardiopulmonary complications in lung cancer surgery. ,0.22
0,25775533,Here we demonstrate that cancer recurrence after curative surgery was significantly lower in ANP-treated patients than in control patients (surgery alone). ,0.33
0,25775533,ANP is known to bind specifically to NPR1 [also called guanylyl cyclase-A (GC-A) receptor]. ,0.44
0,25775533,"In mouse models, we found that metastasis of GC-A-nonexpressing tumor cells (i.e., B16 mouse melanoma cells) to the lung was increased in vascular endothelium-specific GC-A knockout mice and decreased in vascular endothelium-specific GC-A transgenic mice compared with control mice. ",0.56
0,25775533,"We examined the effect of ANP on tumor metastasis in mice treated with lipopolysaccharide, which mimics systemic inflammation induced by surgical stress. ",0.67
0,25775533,ANP inhibited the adhesion of cancer cells to pulmonary arterial and micro-vascular endothelial cells by suppressing the E-selectin expression that is promoted by inflammation. ,0.78
0,25775533,These results suggest that ANP prevents cancer metastasis by inhibiting the adhesion of tumor cells to inflamed endothelial cells.,0.89
0,25291377,"Placental inflammatory response (PIR) is associated with adverse neonatal outcomes such as sepsis, cerebral palsy, low birth weight, preterm birth, and neonatal mortality. ",0.00
0,25291377,"However, there is an urgent need for noninvasive and sensitive biomarkers for prediction of PIR. ",0.11
0,25291377,"In this study, we evaluated the clinical usefulness of maternal serum inflammatory markers for prediction of PIR in women with impending preterm birth. ",0.22
0,25291377,We conducted a retrospective cohort study of 483 patients who delivered preterm neonates. ,0.33
0,25291377,"Serum levels of leukocyte differential counts, C-reactive protein (CRP), and neutrophil to lymphocyte ratio (NLR) were compared between women with no placental inflammation and women with PIR. ",0.44
0,25291377,"The mean neutrophil counts, CRP levels, and NLR in both the patients with histologic chorioamnionitis (HCA) alone and those with HCA with funisitis were significantly higher than those in women with no placental inflammation. ",0.56
0,25291377,"Compared to leukocyte subset or CRP, NLR in women with funisitis was significantly higher than in women with HCA alone and showed higher predictive accuracy, along with 71.4% sensitivity, 77.9% specificity, 80.7% positive predictive value, and 67.8% negative predictive value for prediction of PIR. ",0.67
0,25291377,"On Kaplan-Meier survival analysis, women with both an elevated level of CRP and a high NLR had a shorter admission-to-delivery interval compared to women with either an elevated level of CRP or a high NLR alone. ",0.78
1,25291377,NLR may be a predictive marker of PIR and could be used as a cost-effective parameter for identifying women at risk of PIR.,0.89
0,30547901,BACKGROUND This study was conducted to observe the influence of different time intervals between prior cervical conization and posterior hysterectomy on postoperative infection in female patients with cervical intraepithelial neoplasia or cancer. ,0.00
0,30547901,MATERIAL AND METHODS Medical records of 170 patients who underwent hysterectomy following cervical conization between November 2010 and September 2016 at the Zhenjiang 4th Hospital were reviewed. ,0.09
0,30547901,"According to the interval between hysterectomy and cervical conization, patients were classified into 1-2-week, 4-5-week, and 6-week groups. ",0.18
0,30547901,The outcomes of 46 patients who underwent conization with iodoform gauze inside the vagina were observed. ,0.27
0,30547901,RESULTS The total postoperative infection rate after hysterectomy was 25.3% (43/170). ,0.36
0,30547901,"The expression levels of tumor necrosis factor-α (TNF-α), interleukin-6 (IL-6), and high mobility group box 1 (HMGB1) in the cervical secretions and tissues were found to gradually increase, peaking at 2 weeks after conization, then significantly decreasing 3-6 weeks onwards. ",0.45
0,30547901,"Compared with the 1-2-week group, the 4-5-week and 6-week groups exhibited significantly lower infection rates (2/42, 4.8%, 4-5-week group; 0%, 0/33, 6-week group; vs. 41/95, 43.2%, 1-2-week group; p<0.001). ",0.55
0,30547901,"In the 1-2-week group in particular, the postoperative infection rate after laparoscopic hysterectomy was significantly higher than the rate after abdominal hysterectomy (21/35, 60% vs. 20/60, 33%, p=0.0177). ",0.64
0,30547901,"In addition, the vaginal and cervical wound infection rates after conization in patients treated with iodoform were significantly lower than the rates in those without iodoform treatment (p<0.05). ",0.73
2,30547901,CONCLUSIONS Hysterectomy should be performed at least 4 weeks after conization. ,0.82
1,30547901,Treatment with iodoform would be beneficial.,0.91
0,25501085,Pulmonary nodule formation is a frequent feature of granulomatosis with polyangiitis (GPA). ,0.00
0,25501085,"Traditional induction therapy includes methotrexate or cyclophosphamide, however, pulmonary nodules generally respond slower than vasculitic components of disease. ",0.08
0,25501085,Efficacy of rituximab (RTX) solely for the treatment of pulmonary nodules has not been assessed. ,0.15
0,25501085,"In this observational cohort study, we report patient outcomes with RTX in GPA patients with pulmonary nodules who failed to achieve remission following conventional immunosuppression. ",0.23
0,25501085,Patients (n = 5) with persistent pulmonary nodules were identified from our clinic database and retrospectively evaluated. ,0.31
0,25501085,"Systemic manifestations, inflammatory markers, disease activity, concurrent immunosuppression, and absolute B cell numbers were recorded pre-RTX and at 6 monthly intervals following treatment. ",0.38
0,25501085,"Chest radiographs at each time point were scored by an experienced radiologist, blinded to clinical details. ",0.46
0,25501085,"Five patients with GPA and PR3-ANCA were evaluated (2 male, 3 female), mean age 34 (22-52) years. ",0.54
0,25501085,"Pulmonary nodules (median 4, range 2-6), with or without cavitation were present in all patients. ",0.62
0,25501085,RTX induced initial B cell depletion (<5 cells/μL) in all patients but re-population was observed in 3 patients. ,0.69
0,25501085,Repeated RTX treatment in these 3 and persistent B cell depletion in the whole cohort was associated with further significant radiological improvement. ,0.77
0,25501085,Radiographic scoring at each time interval showed reduction in both number of nodules (P = \u200a<0.0001) and largest nodule diameter (P =\u200a <0.0001) in all patients for at least 18 months following B cell depletion. ,0.85
0,25501085,"In summary, RTX therapy induces resolution of pulmonary granulomatous inflammation in GPA following prolonged B cell depletion.",0.92
0,7647596,Transesophageal echocardiography and 2-dimensional transthoracic echocardiography have proved to be extremely valuable in the diagnosis of cardiac masses. ,0.00
0,7647596,"In this report, we review the echocardiographic findings, clinical history, and histopathologic findings in 21 patients with intracardiac masses who underwent transthoracic echocardiography, transesophageal echocardiography, or both, at our institution. ",0.20
0,7647596,"Of these patients, 14 had benign masses and 7 had malignant tumors. ",0.40
0,7647596,The potential role of transesophageal echocardiography in the diagnosis and treatment of patients with intracardiac masses is discussed. ,0.60
1,7647596,We believe that transesophageal echocardiography offers the cardiologist and cardiovascular surgeon the capability of more accurate preoperative and intraoperative assessment of cardiac masses.,0.80
0,11123392,"Bone mineral density was measured by dual energy x ray absorptiometry (DEXA) at the lumbar spine and femoral neck in 15 adults who had metabolic bone disease in association with coeliac disease (mean age at diagnosis 53.5 years, range 37 to 66).",0.00
0,11123392,Results were expressed as a T score (the number of standard deviations by which patient's bone density differed from the sex matched young adult mean).,0.08
0,11123392,Three patients had no skeletal symptoms and normal routine calcium biochemistry but severely reduced axial bone mineral density on DEXA. ,0.15
0,11123392,"Eleven patients had symptomatic skeletal fractures, including fractures of proximal femur (3), vertebrae (4), and radius (6). ",0.23
0,11123392,"Three patients had osteomalacia confirmed on bone biopsy, two of whom had characteristic biochemistry. ",0.31
0,11123392,Secondary and tertiary hyperparathyroidism were seen. ,0.38
0,11123392,"Seventy five further patients (60 female) with coeliac disease (mean age 52.0 years, median duration of gluten-free diet 3.4 years) and 75 paired healthy age and sex matched controls were questioned on past fracture history. ",0.46
0,11123392,"Patients with coeliac disease underwent detailed studies of calcium biochemistry, dietary intake, and bone mineral density. ",0.54
0,11123392,"Sixteen had a past history of fractures (chi(2) = 10.7, p = 0.0004, v controls), which were of typical osteoporotic type. ",0.62
0,11123392,Ten patients had fracture before diagnosis of coeliac disease and six after diagnosis. ,0.69
0,11123392,"Patients who had a fracture were older (56.3 v 50.3 years, p < 0.02, Wilcoxon rank sum test) than those with no fracture. ",0.77
0,11123392,"There was no significant difference in bone mineral density (z score -0.31 v -0.77), serum calcium (2.30 v 2.26 mmol/l), 25-hydroxyvitamin D (19.7 v 23.7 nmol/l), parathyroid hormone (2.6 v 3.1 pmol/l), or dietary calcium intake (1021.0 v 1033.0 mg/day) in patients with fracture compared with those without fracture. ",0.85
0,11123392,Metabolic bone disease is common in coeliac disease and is associated with premature osteoporotic fractures.,0.92
0,7580360,Sixty consecutive patients undergoing elective open-heart surgery were prospectively enrolled in a study to compare the efficacy of 3 different antifibrinolytic drugs to reduce postoperative bleeding and to reduce homologous blood requirements in combination with blood-saving techniques and restrictive indications for blood transfusion. ,0.00
0,7580360,"The patients were randomized to 1 of 4 intraoperative treatment regimens: 1) control (no antifibrinolytic therapy); 2) epsilon-aminocaproic acid (10 g IV at induction of anesthesia, followed by infusion of 2 g/h for 5 hours); 3) tranexamic acid (10 mg/kg IV within 30 minutes after induction of anesthesia, followed by infusion of 1 mg/kg per hour for 10 hours); or 4) high-dose aprotinin (2 million KIU IV at induction of anesthesia and 2 million KIU added to the extracorporeal circuit, followed by infusion of 500 thousand KIU/h during surgery). ",0.10
0,7580360,Hemoconcentration and reinfusion of blood drained from the operative field and the extracorporeal circuit after operation were used in all patients. ,0.20
0,7580360,"Indications for blood transfusion were hypotension, tachycardia, or both, with hemoglobin values < 8.5 g/dL; or severe anemia with hemoglobin values < 7 g/dL. ",0.30
0,7580360,"Compared with the blood loss in the control group, patients receiving aprotinin and epsilon-aminocaproic acid showed significantly less postoperative blood loss at 1 hour (control, 128 +/- 94 mL; aprotinin, 54 +/- 47 mL, p = 0.01; and epsilon-aminocaproic acid, 69 +/- 35 mL, p = 0.03); this trend continued at 24 hours after operation (control, 724 +/- 280 mL; aprotinin, 344 +/- 106 mL, p < 0.0001; and epsilon-aminocaproic acid, 509 +/- 148 mL, p = 0.01). ",0.40
0,7580360,Aprotinin was significantly more efficient than epsilon-aminocaproic acid (p=0.002). ,0.50
0,7580360,Tranexamic acid did not have a statistically significant effect on blood loss. ,0.60
0,7580360,Homologous blood requirements were not significantly different among the groups; postoperative hematologic values and coagulation times were also comparable. ,0.70
0,7580360,"Despite the efficacy of aprotinin and epsilon-aminocaproic acid shown in the present study, the blood requirements were not significantly different from those that are found when transfusions are restricted, autotransfusions are used, and blood from the operative field and extracorporeal circuit is concentrated and reinfused. ",0.80
1,7580360,"Therefore, intraoperative antifibrinolysis may not be indicated in routine cardiac surgery when other blood-saving techniques are adopted.",0.90
1,21848172,During cardiopulmonary bypass blood gases can be analyzed with laboratory equipment or with an in-line monitor giving instant results. ,0.00
0,21848172,The manufacturer of the CDI 500 in-line blood gas monitor recommends gas calibration before use. ,0.09
0,21848172,In acute cases there may not be time to perform a gas calibration. ,0.18
0,21848172,"We hypothesized that after calibration against laboratory results, the CDI values of pH, pO2, and pCO2 will keep the same level of accuracy, whether the CDI has been gas calibrated or not. ",0.27
0,21848172,We performed a prospective randomized observational study using a study group without gas calibration (29 patients) and a control group with gas calibration (29 patients). ,0.36
0,21848172,"Blood sampling was done at the beginning of bypass, and 30 minutes later. ",0.45
0,21848172,After each blood sample the CDI was in-vivo calibrated to the values simultaneously obtained from the ABL. ,0.55
0,21848172,"Before in-vivo calibration values from the CDI without gas calibration were significantly different from the ABL-values in accuracy as well as precision, whereas the results from the gas calibrated CDI were largely consistent with the ABL. ",0.64
0,21848172,"Before in-vivo calibration, the CDI without gas calibration was completely unreliable. ",0.73
0,21848172,After in-vivo calibration there was no statistical difference between the values of the CDI with and without calibration. ,0.82
2,21848172,We recommend gas calibration of the CDI before use in the period before in-vivo calibration.,0.91
0,25337269,The study was to investigate the effects of oxygen concentration at different levels for culturing pre-compaction embryos on human embryo development competence. ,0.00
0,25337269,A total of 1254 oocytes from 92 patients treated with conventional in vitro fertilization (IVF) were harvested in this study. ,0.10
0,25337269,Oocytes were randomly assigned to the atmospheric (~20%) or low (~5%) oxygen concentration groups on the retrieval day (day 0). ,0.20
0,25337269,"Groups were compared with respect to fertilization rates, embryo development, and reproductive outcome. ",0.30
0,25337269,We failed to detect a significant difference on fertilization rate between two groups. ,0.40
0,25337269,"However, the low oxygen group yielded more optimal embryos on day 3 when compared with the atmospheric group (72.4% vs. 64.2%). ",0.50
